Fish Species,Cover,Area,Weight in LBS,Depth,ID,,,
Largemouth,Boat Docks,Mid Section Main Lake,3.1875,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.6875,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,3.8125,46152,Day2,,,
Largemouth,Boat Docks,Creeks,2.6875,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,2.125,0-5,Day2,,,
Spotted,Natural Rock,Bays/Pockets,3.3125,0-5,Day2,,,
Largemouth,Boat Docks,River,2.375,46152,Day2,,,
Largemouth,Marinas,Mid Section Main Lake,3.125,0-5,Day2,,,
Largemouth,Boat Docks,Mid Section Main Lake,3.0625,0-5,Day2,,,
Largemouth,Natural Rock,Bays/Pockets,3,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,4.5,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.125,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.875,0-5,Day2,,,
Largemouth,Marinas,Mid Section Main Lake,4.25,0-5,Day2,,,
Largemouth,Boat Docks,Bays/Pockets,2.4375,0-5,Day2,,,
Largemouth,Rip Rap,Mid Section Main Lake,3.75,46152,Day2,,,
Largemouth,Natural Rock,Creeks,2.875,0-5,Day2,,,
